,lat 0,lon 1,time 2,agb 3,pft_fracCover 4,sm 5,pftCrop 6,pftHerb 7,pftShrubBD 8,pftShrubNE 9,pftTreeBD 10,pftTreeBE 11,pftTreeND 12,pftTreeNE 13,GDP 14,ign 15,Distance_to_populated_areas 16,fPAR 17,LAI 18,NLDI 19,vod_K_anomalies 20,FPAR_12mon 21,LAI_12mon 22,Vod_k_anomaly_12mon 23,FPAR_06mon 24,LAI_06mon 25,Vod_k_anomaly_06mon 26,WDPA_fracCover 27,dtr 28,pet 29,tmx 30,wet 31,Biome 32,precip 33,Livestock 34,road_density 35,topo 36,pop_density 37
pftTreeBD 10,-0.059929753777618444,0.014846644111884116,0.00020468740757484228,-0.027667909443927968,0.3438452041346902,0.2330498351644666,-0.028787893099182314,0.12774201245068115,0.18124680591915632,0.07600355228226753,1.0,-0.07648331471868348,-0.08997972748114405,0.06251143297767987,-0.07806446057513118,0.13550187622397977,-0.1686516421446611,0.2849954840390683,0.21537006990554636,-0.024664257375377804,0.03734480012710587,0.22424825698130268,0.1898830031245072,-0.0007451621331179035,0.22424825698130268,0.1898830031245072,-0.0007451621331179035,-0.022096698722780767,-0.056522373082527354,-0.04251299475587942,0.05853074026257321,0.12095842130670076,-0.14172351421036095,0.10553612457060702,-0.004045815819679822,0.034767632828915665,0.05400576746679847,-0.0016022796658576117
pftTreeBE 11,-0.3466017923229203,-0.08311059327960953,-5.414285259779476e-05,0.5976767116280898,0.28162258375695126,-0.18558626023057953,-0.0784852686305258,-0.2418959783355582,-0.04202299835554103,-0.1708856810581059,-0.07648331471868348,1.0,-0.09292125388619953,-0.1211002995710711,-0.17418446006033309,0.017642985399520243,-0.11026580331452954,0.4603917238479004,0.6634022615333235,0.08958757804594028,-0.08052542630344842,0.47344198360347367,0.6596145540448252,-0.07701040803440863,0.47344198360347367,0.6596145540448252,-0.07701040803440863,0.15612583990092557,-0.10650452201662636,0.054864350312771704,0.25201605509871206,0.29459755027194334,-0.16322019885450936,0.4593902305043277,-0.002030668366622221,-0.02671569025553263,0.0036695871658497595,-0.010215842700750283
pftTreeND 12,0.2539326597110801,0.34776191133072387,-0.0002597106123175347,-0.0757807168108124,0.1972811847642068,0.12681126297600961,-0.14715767463968737,0.13723971152586403,0.28286450433206095,0.25722571929606614,-0.08997972748114405,-0.09292125388619953,1.0,-0.05038214853635119,0.012580041692086916,-0.03392927631510778,-0.050896282827691715,-0.018734721305951406,-0.05281244869117815,0.11428755268471927,0.02428045831169885,-0.062472646795729815,-0.06851636622906458,-0.004891398299475945,-0.062472646795729815,-0.06851636622906458,-0.004891398299475945,-0.04665895724248964,-0.029667094224228256,-0.20898535475779884,-0.2717480404631932,0.06410692449907747,-0.06823611381759577,-0.08525275797257792,-0.10262950639733943,-0.06941500891305635,0.043443866095400976,-0.033961062283628475
pftTreeNE 13,0.2744834871446372,-0.2240649856456734,-0.00026113387584086325,-0.10578903558203481,0.2757259322380406,0.2849324298375108,-0.17356299447677645,0.07917503385186167,0.020813803575329207,0.45084870283539186,0.06251143297767987,-0.1211002995710711,-0.05038214853635119,1.0,0.1829407674774007,-0.05139983863136462,0.005794235302265905,0.14189665688625308,0.04911861400027985,0.03275837213789254,0.05050347651542064,0.031366025858556544,0.0009059516241654247,-0.006677087360125774,0.031366025858556544,0.0009059516241654247,-0.006677087360125774,-0.027182807636425076,-0.115241427037457,-0.22409675596838907,-0.18143266902652166,0.17723779747843263,-0.12220770156893507,0.0013517038442266538,-0.11162228118883574,-0.030361929926366413,0.05780555445015818,-0.030370562644903884
GDP 14,0.3674528386879698,-0.056225390900382005,0.0014249729932405979,-0.13877154075257844,-0.13382212812260674,0.030479547897124846,-0.18820154675919343,0.0909258511981407,0.03533399364802692,0.1277644921449524,-0.07806446057513118,-0.17418446006033309,0.012580041692086916,0.1829407674774007,1.0,-0.09532635144642915,0.21814446107632166,-0.16016955109835715,-0.20029768991876493,0.014864770024205217,0.03326278237201789,-0.19072890543172988,-0.2114285712776785,0.012121724122173725,-0.19072890543172988,-0.2114285712776785,0.012121724122173725,0.016747460454025562,-0.2265732717903674,-0.2771852659984555,-0.3688754923428789,0.12381831743235237,0.07131093431226082,-0.14275040815800172,-0.17513855270153872,-0.04874600142856753,0.03742540834191391,-0.052259657293968725
ign 15,-0.14960239807044864,0.016559297083121705,0.0023541941775093657,0.05282274462613912,0.1191811877775423,-0.01752741067841134,0.06310875373885302,0.04898686448216242,0.10435093838827351,0.02087190997749528,0.13550187622397977,0.017642985399520243,-0.03392927631510778,-0.05139983863136462,-0.09532635144642915,1.0,-0.07092675012216651,0.08392977945633227,0.06401199440299848,0.03226121572874161,-0.01529727390512381,0.09871068196573098,0.07030927525967355,-0.007034599010043669,0.09871068196573098,0.07030927525967355,-0.007034599010043669,-0.0007348409614406185,0.08698280151473235,0.08481242814707088,0.13155279382163915,-0.09940108286173902,-0.04892805762781558,-0.03572821742812653,0.025115997896259897,0.00047173922894854154,0.017113196384492192,0.004045735480481183
Distance_to_populated_areas 16,0.24627816195230579,-0.10097547423845886,-0.005388942639859162,-0.08031135587759852,-0.43656148662217786,-0.2968878961480866,-0.28144768618358673,-0.12711060274531308,-0.14282028189870058,-0.13260603238730898,-0.1686516421446611,-0.11026580331452954,-0.050896282827691715,0.005794235302265905,0.21814446107632166,-0.07092675012216651,1.0,-0.3343971044242115,-0.27078608707573776,0.19893539554171016,-0.007421501688818916,-0.3001240774578506,-0.25653208758608265,0.00466523093889763,-0.3001240774578506,-0.25653208758608265,0.00466523093889763,0.24874209407889036,0.23489194806047972,-0.11864315807043792,-0.2527732136116958,-0.055779632264383226,0.5042688086601674,-0.15775923011423998,-0.18483453943451916,-0.1455832735889402,0.07795393466424837,-0.07335862951288953
fPAR 17,-0.3262516104102252,-0.02413565684511497,0.02844979655640666,0.28835347388731336,0.6138426090897088,0.26586581487267275,0.1934116048646802,0.04643932283319907,0.16738025986424251,0.16048990169699928,0.2849954840390683,0.4603917238479004,-0.018734721305951406,0.14189665688625308,-0.16016955109835715,0.08392977945633227,-0.3343971044242115,1.0,0.9148221557527573,-0.02190075724705321,-0.026036335979295517,0.9183945711740515,0.8746702239316579,0.003640474637971045,0.9183945711740515,0.8746702239316579,0.003640474637971045,0.014000101467616724,-0.09347875829563257,0.1577643647663774,0.4686046228321435,0.38282348270018673,-0.33332770071475465,0.49391858995401666,0.18193234206029313,0.12693894521055749,0.021135090159547593,0.057769032894156455
LAI 18,-0.3541398746449423,-0.0494435714256283,0.023463914699595193,0.4340779150238646,0.5193887476864191,0.10624365488489665,0.10169664301067655,-0.06399140762327309,0.09713645611392313,0.04198441526315644,0.21537006990554636,0.6634022615333235,-0.05281244869117815,0.04911861400027985,-0.20029768991876493,0.06401199440299848,-0.27078608707573776,0.9148221557527573,1.0,0.015419582015952627,-0.0620338166469608,0.9014324907809357,0.9841026211054101,-0.03225576842721821,0.9014324907809357,0.9841026211054101,-0.03225576842721821,0.06986590677275091,-0.10854025363240191,0.1679640456888464,0.4508336230311597,0.413235838615449,-0.28208645031332374,0.5681970335078751,0.12260686584065725,0.07530832478833718,-0.0009297823705837791,0.03523832728573859
NLDI 19,-0.1102454632071744,0.12411786377091347,-8.431601405488152e-12,0.07401415168345672,0.03290913085757594,0.0010955085764934795,-0.24016341891106652,0.14727661952450066,0.1706399547430673,0.13421550795135212,-0.024664257375377804,0.08958757804594028,0.11428755268471927,0.03275837213789254,0.014864770024205217,0.03226121572874161,0.19893539554171016,-0.02190075724705321,0.015419582015952627,1.0,-0.0063529107548796395,-0.021324201240225427,0.01440221839736792,-0.015212399204553235,-0.021324201240225427,0.01440221839736792,-0.015212399204553235,0.037135070328706804,0.1653798607406413,0.04723425585282627,0.02359624306495042,-0.01235740979379674,-0.01618183183036904,-0.01275662548976576,-0.14761023257184322,-0.25774858632639075,0.21792853909861443,-0.12202876074360224
vod_K_anomalies 20,0.06360058001093162,0.03613053019207717,-0.022094128152025546,-0.050454158954650545,0.03140178475377915,0.08317034333354058,0.012608803709547279,0.04580707295292427,0.035848179464482224,0.041044353275088125,0.03734480012710587,-0.08052542630344842,0.02428045831169885,0.05050347651542064,0.03326278237201789,-0.01529727390512381,-0.007421501688818916,-0.026036335979295517,-0.0620338166469608,-0.0063529107548796395,1.0,-0.0596434019070359,-0.07552721486167405,0.7736876323112976,-0.0596434019070359,-0.07552721486167405,0.7736876323112976,-0.024618782514379885,0.00033349001827862724,-0.05574396330512772,-0.05917385495482761,-0.035768660682456134,-0.013079932701029605,-0.08180893165911389,0.012089118036942636,-0.006173750375813686,0.01719676424459325,0.007039689676947749
FPAR_12mon 21,-0.39386057271544617,-0.02211614294866506,0.031911978490766,0.3043479619013261,0.5255572124725659,0.16816817934868356,0.19991004356330422,0.00045366576362337435,0.1517826119805177,0.09234562962700155,0.22424825698130268,0.47344198360347367,-0.062472646795729815,0.031366025858556544,-0.19072890543172988,0.09871068196573098,-0.3001240774578506,0.9183945711740515,0.9014324907809357,-0.021324201240225427,-0.0596434019070359,1.0,0.9313351875218516,0.008399935771595417,1.0,0.9313351875218516,0.008399935771595417,0.021468663882106557,-0.013799614713313995,0.27421369151935315,0.5448590985120189,0.3302559493654795,-0.28404271405614256,0.4916763008665742,0.1998950702385637,0.11812826003632146,0.010629482486694578,0.05966985122883607
